Decimal,Hex,Mode,Alpha Tag,Description,Tag,Category,Priority
2105,839,D,BER DSP1,Fire Dispatch 1,Fire Dispatch,Berkeley,1
2106,83a,D,BER DSP2,Fire Dispatch 2,Fire Dispatch,Berkeley,1
2107,83b,D,BER DSP3,Fire Dispatch 3,Fire Dispatch,Berkeley,1
2112,840,D,BER EMRG,Fire Emergency,Emergency Ops,Berkeley,1
2671,a6f,D,BER CMD11,Fire Command 11,Fire-Tac,Alameda County Fire,1
2672,a70,D,BER CMD12,Fire Command 12,Fire-Tac,Alameda County Fire,1
2691,a83,D,BER TAC31,Fire Tac 31,Fire-Tac,Alameda County Fire,1
2692,a84,D,BER TAC32,Fire Tac 32,Fire-Tac,Alameda County Fire,1
2711,a97,D,BER TAC51,Fire Tac 51,Fire-Tac,Alameda County Fire,1
2712,a98,D,BER TAC52,Fire Tac 52,Fire-Tac,Alameda County Fire,1
3105,c21,T,BPD 1,Police Dispatch,Law Dispatch,Berkeley,1
3106,c22,T,BPD 2,Police Ch 2,Law Tac,Berkeley,1
3108,c24,T,BPD TAC1,Police Tactical 1,Law Tac,Berkeley,1
3110,c26,T,BPD INV1,Police Investigations 1,Law Tac,Berkeley,1
3112,c26,T,BPD PRKG,Police Parking Enforcement,Law Talk,Berkeley,1
3605,e15,T,UCB PD1 DSP,Police Dispatch,Law Dispatch,UC Berkeley,1
3606,e16,D,UCB PD2,Police Ch 2,Law Tac,UC Berkeley,1
3608,e18,D,UCB PD4 ENF,Police Enforcement,Law Tac,UC Berkeley,1
3609,e19,D,UCB PD5,POLICE TAC,Law Tac,UC Berkeley,1
5506,1582,D,Alta Bates MC,Alta Bates Medical Center - Berkeley,Hospital,Hopital,1
