Decimal,Hex,Mode,Alpha Tag,Description,Tag,Category,Priority
3405,d4d,T,Oakland PD1,Police Patrol 1 - Beats 1 to 19,Law Dispatch,Oakland,1
3406,d4e,T,Oakland PD2,Police Patrol 2 - Open/Car to Car,Law Talk,Oakland,1
3407,d4f,T,Oakland PD3,Police Patrol 3 - Beats 20 to 35,Law Dispatch,Oakland,1
3408,d50,T,Oakland PD4,Police Patrol 4 - Car to Car,Law Talk,Oakland,1
3409,d51,T,Oakland PD5,Police Patrol 5 - Open/Car to Car,Law Talk,Oakland,1
3410,d52,T,Oakland PD6,Police Service 1,Law Talk,Oakland,1
3411,d53,T,Oakland PD7,Police Service 2,Law Talk,Oakland,1
3418,d5a,T,Oakland PD Tac 1,Police Tac 1,Law Tac,Oakland,1
3419,d5b,T,Oakland PD Tac 2,Police Tac 2,Law Tac,Oakland,1
3420,d5c,T,Oakland PD Tac 3,Police Tac 3,Law Tac,Oakland,1
3421,d5d,T,Oakland PD Tac 4,Police Tac 4,Law Tac,Oakland,1
3422,d5e,T,Oakland PD Tac 5,Police Tac 5,Law Tac,Oakland,1
3423,d5f,T,Oakland PD Tac 6,Police Tac 6,Law Tac,Oakland,1
3424,d60,T,Oakland PD Tac 7,Police Tac 7,Law Tac,Oakland,1
3425,d61,T,Oakland PD Tac 8,Police Tac 8,Law Tac,Oakland,1
3426,d62,T,Oakland PD Tac 9,Police Tac 9,Law Tac,Oakland,1
3428,d64,T,Oakland PD Tng 1,Police Training 1,Law Tac,Oakland,1
3429,d65,T,Oakland PD Tng 2,Police Training 2,Law Tac,Oakland,1
3447,d77,T,Oakland HAPD 1,Housing Authority Police Dispatch ,Law Dispatch,Oakland,1
3448,d78,T,Oakland HAPD 2,Housing Authority Police Secondary,Law Tac,Oakland,1
2400,960,T,Oakland FD Ann,Fire All Call,Fire Dispatch,Oakland,1
2405,965,T,Oakland FD1,Fire Dispatch,Fire Dispatch,Oakland,1
2406,966,T,Oakland FD2,Fire Ch 2,Fire-Tac,Oakland,1
2407,967,T,Oakland FD3,Fire Ch 3,Fire-Tac,Oakland,1
2408,968,T,Oakland FD4,Fire Ch 4,Fire-Tac,Oakland,1
2409,969,T,Oakland FD5,Fire Ch 5,Fire-Tac,Oakland,1
2410,96a,T,Oakland FD6,Fire Ch 6,Fire-Tac,Oakland,1
2411,96b,T,Oakland FD7,Fire Ch 7,Fire-Tac,Oakland,1
2412,96c,T,Oakland FD8,Fire Ch 8,Fire-Tac,Oakland,1
2413,96d,T,Oakland FD9,Fire Ch 9,Fire-Tac,Oakland,1
2414,96e,T,Oakland FD10,Fire Ch 10,Fire-Tac,Oakland,1
2416,970,T,Oakland FD12,Fire Airport Crash Crews,Fire Dispatch,Oakland,1
2417,971,T,Oakland FD Cmd,Fire Command,Fire-Tac,Oakland,1
2434,982,T,Oakland FD Siren,Fire Emergency Sirens,Data,Oakland,1
2436,984,T,Oakland FD Disp,Fire Automated Dispatch,Fire Dispatch,Oakland,1
4405,Oakland,1135,T,Oakland PW,Public Works,Public Works,Oakland,1
4407,Oakland,1137,T,OaklandPW Street,Public Works Street Maintenance,Public Works,Oakland,1
4415,Oakland,113f,T,Oakland PW Sewer,Public Works Sewers,Public Works,Oakland,1
4421,Oakland,1145,T,Oakland Parking1,Parking Enforcement 1,Law Talk,Oakland,1
4422,Oakland,1146,T,Oakland Parking2,Parking Enforcement 2,Law Talk,Oakland,1
4423,Oakland,1147,T,Oakland Parking3,Parking Enforcement 3 (Meter Collectors),Law Talk,Oakland,1
