Decimal,Hex,Mode,Alpha Tag,Description,Tag,Category,Priority
2105,839,D,Berkeley FD1,Fire Dispatch 1,Fire Dispatch,Berkeley,1
2106,83a,D,Berkeley FD2,Fire Dispatch 2,Fire Dispatch,Berkeley,1
2107,83b,D,Berkeley FD Disp,Automated Dispatch,Fire Dispatch,Berkeley,1
2112,840,D,Berkeley FD Emer,Fire Emergency,Emergency Ops,Berkeley,1
2671,a6f,D,ACFD Command 11,Command 11 - Berkeley,Fire-Tac,Alameda County Fire,1
2672,a70,D,ACFD Command 12,Command 12 - Berkeley,Fire-Tac,Alameda County Fire,1
2691,a83,D,ACFD Tac 31,Tac 31 - Berkeley,Fire-Tac,Alameda County Fire,1
2692,a84,D,ACFD Tac 32,Tac 32 - Berkeley,Fire-Tac,Alameda County Fire,1
2711,a97,D,ACFD Tac 51,Tac 51 - Berkeley,Fire-Tac,Alameda County Fire,1
2712,a98,D,ACFD Tac 52,Tac 52 - Berkeley,Fire-Tac,Alameda County Fire,1
3105,c21,T,Berkeley PD1,Police Dispatch,Law Dispatch,Berkeley,1
3106,c22,T,Berkeley PD2,Police Ch 2,Law Tac,Berkeley,1
3108,c24,T,Berkeley PD4,Police Ch 4,Law Tac,Berkeley,1
3110,c26,T,Berkeley PD6,Police Investigations 1,Law Tac,Berkeley,1
3605,e15,T,UCB PD1 DSP,Police Dispatch,Law Dispatch,UC Berkeley,1
3606,e16,D,UCB PD2,Police Ch 2,Law Tac,UC Berkeley,1
3608,e18,D,UCB PD4 ENF,Police Enforcement,Law Tac,UC Berkeley,1
3609,e19,D,UCB PD5,POLICE TAC,Law Tac,UC Berkeley,1
3055,bef,T,Albany PD1,Police Dispatch,Law Dispatch,Albany,1
3056,bf0,D,Albany PD2,Police Tac 2,Law Tac,Albany,1
3057,bf1,D,Albany PD3,Police Ch 3,Law Tac,Albany,1
3058,bf2,D,Albany PD4,Police Ch 4,Law Tac,Albany,1
3059,bf3,D,Albany PD5,Police Ch 5,Law Tac,Albany,1
2050,802,D,Albany FD All,Fire All Call,Fire Dispatch,Albany,1
2055,807,D,Albany FD1,Fire Dispatch,Fire Dispatch,Albany,1
2056,808,D,Albany FD2,Fire Emergency Revert,Fire-Tac,Albany,1
2057,809,D,Albany FD3,Fire Ch 3,Fire-Tac,Albany,1
2058,80a,D,Albany FD4,Fire Ch 4,Fire-Tac,Albany,1
2059,80b,D,Albany FD5,Fire Ch 5,Fire-Tac,Albany,1
4055,fd7,D,Albany PW,Public Works,Public Works,Albany,1
3155,c53,T,Emeryville PD1,Police Dispatch,Law Dispatch,Emeryville,1
3156,c54,D,Emeryville PD2,Police Ch 2,Law Tac,Emeryville,1
3157,c55,D,Emeryville PD3,Police Ch 3,Law Tac,Emeryville,1
4155,103b,D,Emeryville PW1,Public Works,Public Works,Emeryville,1
5509,1585,D,Highland,Highland - Oakland,Hospital,Hospital,1
